user_id:item_seq
1:1,160,209,2173,173,2757,3446|||||
2:2,98||4373|117,474||
3:3,13,16,33,40,43,49,95|||||
4:4,3146||||6129,99|
5:5,83,85,103,106|||||
6:6|3665,3822,1508,3697,2577,2130,5632||3823,3240,2701||
7:7,42|||||
8:8,17,73,77,86|587,1216,3778||617|2627|
9:9,26,39,63,64,69,1175,1793||3108,4287,521|||
10:10,68,102|802|6264|61||
11:11,99|3957||1623,8323,7905|1195,4966|
12:12,37,545,153||5520|||
13:14,84,96,2645,752|||||
14:15,299|1038,1247|3905,4729||7273|
15:18,53|||8059,5528,6179,8336,381||
16:19,416||||3223,6453|
17:20,74||6344,2789,2047|||
18:21,50,52,229,2839|2214||||
19:22||2773,7000,6839,6129,7609,860|7847,8110,8578|8435,7625|
20:23,637|||7769|9263,7756|
21:24,434,1309,910,230,1843,199,848|107,6036|4193|||
22:25,92,3546,4578,904,4585,103,4593,179,60|||||
23:27,319|2887,1700||2862|6028|
24:28,1096,842,1360,1509|||||
25:29,54,66,240|5589,4299,6147|5515|8268,873,5581|9418,8728,8425|
26:30,153,440,501,3966|||||
27:31||3490,3623,2896,4099,3518,496,3303|||
28:32,1623,3074,1342,31|1550||||
29:34,91,1085|4484,117||1871||
30:35||||1247,4478,7437,365|
31:36,67,81,153,436|2885|||5896|
32:38,553|2949|||5808|
33:41,57,566,44||||6513|
34:32|6164|||4509,8014,6692|
35:44,3585||6839,7494||8435|
36:45|348,529||5405,264,153||
37:46|||2168|9120,1236,9530|
38:47,71,153||||30|
39:48,88||||4254,9285,4412|
40:51,79||||4757,7617,7271,124|
41:55,72,432,733,1430|||7464||
42:56,790,545,2145|||1057|8784,9272,8008,8659,8292,8572,5405,3790,9033,7756|
43:58,550,2474,617,310|4426||||
44:59,920|1992,3252,510||||
45:60||||7145|
46:61,1946,2448,2088,688,729,1638|4662,690|4749|||
47:60|139|5770,5824,4199|||
48:62,2491|4479|||7763,8017,8751|
49:60|2956||6247,3354,4583||
50:65,4076,1464|178|264,594|||
51:70|1518||5170|139,31|
52:75,230|||3552,1871,6324||
53:76,2026|||8358,5673|7805,117|
54:78,80,1187,483,3593|||5714,734||
55:82|||4443,7530,8605,5758,198|8665|
56:89,603,1403,741,1201,1717,3494,3445,3501,3498,4566,3798|4552,5156,5172,5915,6160,6319,5673,6364|6362,6340,6492,6751,5931,435,6674,7170,2480,6909|7120,7721,7032,7169,7800,7227,4796,6944,7612,7898,8093,7977,6730,8264,8206,8028,8489,8454,8434,8704,8760|8609,8499,5383,9016,8692,4905,9028,9100,9052,9127,9051,9248,7090,9258,9310,9260,9296,9344,9384,9388,9478,9343,9490,8926,9531,7545,8957,9468,9228,9666,9683,8835,2884|
57:90,263,264,357,1830,3531|2790,3184||||
58:93,733||||241|
59:94|||7786||
60:97,1334,3575|2723,3580,2262,3821|6110|8166,8233|8086,8085,5685|
61:100,762,1495||2277,6309,10,5824,1184,5808,6349,676||179|
62:104||536,268,1021||3639|
63:105|3128,4476,5103,3519,705,107,154,797,4015,231|5923,1622|||
64:107,125,173,177,186,2702|||||
65:108,123,4|||2740,7936||
66:109,977,1304|2021|||5535|
67:110,172|2961,3906,2138|5812|||
68:107,119,734|3833,5736|5993,1500,1247,5716,3923,1003||1187,388,8749,3593,8946|
69:111,1598||||9707,8928|
70:112,150,171,185,187|||||
71:113,199|327,2963|1906|||
72:114,130,3727,3277||||6580,7176,4506|
73:31,143,83||||818,6829|
74:115,22|5689|4299|8130||
75:116,145||4129,1734,476,2400|||
76:117,44,1508,673|||137||
77:118,121,133,157,160|||||
78:120,144,165|3905||7973||
79:122,124,60,150,159,178,190,205,196|||922|6884|
80:19,175,202,68|||650||
81:126,132,155,161,65,181|5015,1786,771,486,248,1231||||
82:127,38,209,402,406|||||
83:128,210,591|||||
84:129,179,403,407,783|||||
85:131,140,176,197||874||4526,2953,2374|
86:134,148,162||117|8289,5969,6956||
87:31,160,188||||784,4356|
88:135,117,204,1765|||2143,406,1434||
89:136,9,1644,592|793,5423|2874||390,9836|
90:137,182|3299|||676|
91:138||6032||8539|
92:139,174,13,83||||5456,2170|
93:141||||589,4540,5269,8567|
94:142||||2203,86,485|
95:49,149,160,43,193,321|||||
96:146,375||||2862,9422|
97:147|2480,3363,4022,596|6414,6201,4982,7303|||
98:151,2953,1077,3281,3634|||||
99:137,154|5141|675|||
100:135,335,1651|83,159,2027||||
101:152,296,598,3217,547,3464,428,577,3427,3338,4125|||||
102:153||7582|6730,7179,6159|4975|
103:156|4953,304,537||2521||
104:60,489,3928|||1168,2390||
105:158,191,203,2911|531|61|||
106:89,603,3501,741,3498,3445,22|2262|6319,6843,5718,6110|7743,8454,8271,8028,8080|9485|
107:163,264||3560,4631|4397||
108:164,115,1334,2135||2129,2932|8124,8167|9218,9200,9197|
109:166,199,218,102,1119|||||
110:167,60|2603||3692,4356,3283|2170,7066|
111:168,552,594,1239,463|805,2048,498,3892||2321,3577|123,4813|
112:169,222,228,19,3418|416|||1111|
113:170,1622,25,216,766,2253|||7281,8280||
114:180,530,559,570,26|||||
115:60,3358|4955,3775|1418|||
116:183,198,507,577|5751|5659,5958,6559,6945|||
117:184,2280|5182|7028,7085|8124,8175,8130||
118:189||2075,5824,3923|7129,617||
119:192,1504,2629|||5666,5707,8253,7980||
120:194,2995,375,1846,22|5739|5232|597,7645,8175,5969|4691|
121:195,201,768||5547,7085|8166,8149|8773|
122:196|2272,3150,2936|3683|||
123:200,1753|378,5173,439||||
124:206,225,2162,162||||1315|
125:195,97,2278,115|1846,1777|5718,7431|7847,7846||
126:207,211,218,256,271,199|||||
127:208,218,258,910,68,721,447|||||
128:209,231,291,292,295|||||
129:195,2183|107,2262,4635||8175||
130:210,1163|2021,977|6595|8494,8490||
131:212,275,288|3318,462,1909||||
132:213,217,239,50,87,347||496,3190,5200,1335|1941|215|
133:214||5812,6659,7313,1012|7777||
134:215|367,1449,1080,4455,60||1941||
135:216,56,308||||5476,4118|
136:219,254,274,311,107||5799,6659|||
137:220,817,1598||3923|6007||
138:221,1113,97,3671,558|1777,2262|5619|8025,8088|9506|
139:115,2156||7000,7761|7645||
140:218,641|5167||1791,1991,2556|5012|
141:223,315,345|3486,358|7477|||
142:117,351,1746|||2255,358,6158,6488,5981||
143:224,1053,1062,1128,1889||188,5041,2542,90|2943,372,6260||
144:194|626|698|8130,6548|7130|
145:226,227,318,2873|1501|||8564,5969,7736,6246|
146:150,245,94,248,169,266,162,305,68,153,343,349,316|47,654||264||
147:229,267,281,279,294,1322,179,1339,549,218|||||
148:230,336,337|3588,124||||
149:232,300,3671|||7761,8085||
150:233,330,341||||7929,3824|
151:234,157,338,31,541,2790,714,1498|||||
152:235,327|||1360||
153:236,317,359,1932|474|6388,2096,1543|||
154:55,1623,2575||948,4006|||
155:237|||186,783|8867,9248,8803|
156:238,1651,2482,2440,790,2350|1860||||
157:194||7454|7756,4552,8167,8489,8704|7227,9040,9016,8867,8513,5931,8708,9299,9722|
158:240,19||5312,5254,124|||
159:241,328,119,424,47|6505,6404,5822,5824||6337|2830|
160:242,352||6929,4591,4288|||
161:244|||587,3837,6275,4223|6608|
162:246,280,323||2411,3584|||
163:247,300,1777,1846,2135|||||
164:249,261,331,2865,964,1509|||||
165:250,1846|5596|7054|8124,8679|9700|
166:251,316,784||5232,31,2992,1220|||
167:252,2469,299,207,327,304|5950|2378|7598||
168:253,1299|999,5468,5688,5661,5553|7150|||
169:250,1931|||8168,8167,8175||
170:255|956,4458,1311,406,892,5463,12,2262,1288,3861,529||||
171:257||7011,4490|6116||
172:259,10||||8826,2143,1012,6160|
173:260,2015||4456,2618,854,2727,2934|||
174:262,294,332||15,541,1184|||
175:265,1664,1717,3798,1187,3494,4552,741,4560,4559,603|5295,5156,5758,5898,5923,5915,5955,6099,5673,6492,6340|6319,5398,6658,6825,6794,6782,6783,4868,6944,6909,7052,6924,6865,6872,6873,6898,5356,7170,7281,7120,4631,7481|7800,7746,8203,8270,8156,8347,8616,8432,8609,5360,8851|8485,9016,8760,8355,9127,8420,8708,8860,9248,9296,9359,9310,9577,9683,9229|
176:268,326,334,316,350|||||
177:247,195|||3837,783,8149|8435|
178:269||2503|3166,6179,7502,1268,1784,2138||
179:270,2795,925,320,1014|706|7594,189|||
180:272,721||920,725|6179,3247||
181:273,289,129,736,990,1332,372,2638,2852,4708|4043,190||||
182:276,1017,173||6560,2094|5477||
183:277,424,1311,734,388|||||
184:278,284,333,353,2425|||||
185:279,320|||||
186:282,1434,214||4303|8665||
187:283,181,937,73,658,160||||4889,5914,170,5714|
188:285|1964,1251,428,1740,4293|3373,6964,691,1967,202,819|7912,7732,8067,8152,7917,7839,8056,8482,8280|8656,9154,8300,8695,9041,8666|
189:286|4998,3012,117|4877,7220,4314,7442||7650,9492,9494,2269|
190:287,139,320,716|||4356,222||
191:290,410||1213,3496,4632,1270|||
192:293,474|4138||5233,6614,4359||
193:68,86,944||||6801,8289,123|
194:296,152,598,3464,3373,3338|||||
195:31,312||2026,924,5733|||
196:297|||4700,3486,1790,8324|2367,2503,329|
197:298,3580|2262,6110|||5227|
198:299,512,3868,547,4467||5993,1216|5859,7736,4948,7413,468,8235,8557|8269|
199:137,949,1312,316|||1164||
200:301,802,2492,1749,68|||||
201:302||6601,3628,6978|3486,3128||
202:303,139,379,83||563,6133,585||5003,2959|
203:304,327,579||||1192,909|
204:306,3314|123||286,3407||
205:307,884,1831,1718,4214||31|||
