user_id:item_seq
1:1,5342,686,1929|5188|||3834|
2:2,67,6468,4387,6505,574|9874|6441,11672,1440,7185|||
3:3,4389,660,7695,6449,2333||5076|||
4:4,13,26,35,51,85,111,118,119,135,164,178,227,458,1069,1002,856,1035,1196|||5829,2330,45,983,4081,11989,1688||
5:5,17,189||10717,2680,5410,1293,10468,433,76|4810,742,6983,4217|450,3968,4622,12537,906,160|
6:6,8,63,76,84,87,91,100,108,133,153,172,209|||||
7:7,1993,2741,1492,4617,5599,706,5165|8786,8777,4731,3581,9013,9043,2463,1816,9449,9693|1841,2522,9227|9440,1809,3385,12006,575,755,1963,3186,10998|5389,2850,9340,11668,2154,2601|
8:9,1187,2270,1062||||321|
9:10,161,4689,3465|1312,9249,10253,3486,1122,1578||||
10:11,12,31,175|9099,6664||||
11:14,361,4009|198,2131,427,2625,5609,5768,1921||||
12:15,1810|4317||||
13:16,115,243,405,773,807,4598,4791,4924||9182|6683|6478,3349|
14:18,126,2889|8005,9705,9729,9738,10395|10004,10477,7691,10746,785|7905,10445,815,8514|13090,13279,13245,13354,649,13441|
15:19|4072,3910,3973,4366,4709||||
16:20,162,188||||12032,7091,13240,7821,8075,2852,13264,1505|
17:21,167||||5714,5440,1669|
18:22,1171,1358|3121,545,9214||||
19:23,82,109,193|4946||183,893,1282||
20:24||||3605|
21:25||||2349,9492,7161,13108,470|
22:27,191,3564,1697,4837,4907,4914,4276,462,1597||||10088,9399,5997,5519,9922|
23:28,1035|9561,9564,444,2276|10300|2491,11762,5147,115,757,6704,1201,405,9067,13,9243,311|5887,12633,4054,1406,1191,111,4110,12200,12682,5831|
24:29,104||2315,1143,10300,197,989,10227,264,5192,8580|1201|7391,10646,9710,78|
25:30,187,53||11123|||
26:32|2675,82|1946|||
27:33,43,127|5434,1454|11541|||
28:34,94,95,144||||12409|
29:36,39,54,28,77,11,149,166,197,225|||||
30:37,132,204,218||||159|
31:38,68,145,163||12008|||
32:40||||2164,4650|
33:41,473,393,2302,5789,267|5406,9116,2988||9604,488,1319,11542,3334|2135,9821,9887,326,11677,945,1882|
34:42,50,136||||2034|
35:44,55,86,98,139,160,174,439,1576,1695,4191,1985,927,4640,3659,5349,1485|8675|3653,911||3162,5772|
36:45,151|1139,4304|11124|3802,4640,10190,12729||
37:46,110,137,179,212|236,3021,1165|8418,9544,11938,2956|3507,6977,6802||
38:47,57,124,180,221|||||
39:48,1207,3570,4595,396||10996|||
40:49,156|||5946|983,342,2662|
41:52,190,304,409,1551,1602,236,250,1636,1438,1737||9349,703,9469,11297|||
42:53,103,107,811|2110,5601,2520,6131,5965,9237,6480|9291,1550,6091|||
43:56,126,7651,7685||10746|||
44:58,129,170,214|3223||||
45:59,83,141|||5535,4030,2289,2424||
46:60,895,911,924,359,153,29,586,364|||||
47:61,117,1576,196,2637,4328,773,1014,1044|198||741||
48:62,155,184|1492,572|109,700,811,8385||3297,8947,2107|
49:64,289,395,2970|7663,8424||||
50:65,207,957|9730||7013|173|
51:66,778|783|11623,994,11090,2861,1855,4609|3687,5413|8005,2999,10884|
52:69,2617|||10121,12661,12405||
53:70|5608,10650,735|||3987|
54:71,122,228|||6906,2622||
55:72||11978,1282,4333|||
56:73,4518,7206,7208|398||||
57:74,176,5542||||5485,10579,620,3137,5291|
58:75,3541,1093,5827,4724,5589,3906,5439,2179,6645,1583|10003||||
59:78,114,1324|1952||||
60:79,173,612,930,1690,2580,518,3419,1736,2116,419,4402|701,8913,1795,3754,8123,3473,7939,7186|2287|5847,12122,1876,6645|2286,7719|
61:80,147|1051,2160||588,9184,4070,12987,445||
62:81,105,125,147,177||||11204|
63:88,148,169,199,220,672,479,735,598,123,5666||6263,10950,6026,2750,768|||
64:89,222||1636,3473,37,3689,4699,964,2852,2475,462||13366|
65:90,874||9609|8100,315,11125,12889,994,3803,5991,1963|1262,10333,2404,8782,6341,2146,9922,9225,812,9704|
66:92,11,368,953,1353,659,274,735,1703,949|6611,6300,1803,84|269,4367||615,549|
67:93,96,98,165,205,206|||||
68:97,4563,473,1965,3121,6320,6703,1469,1974,1201,6723,6554,2340,1666,7644|9286|11167,6564,9556|1630,2257,2528,133,10616,11657,5195,12963|150,8133,3630,3814,2568,973,3178,12115,6614,108,1608|
69:99,106,123,146,154,210,216,217|||||
70:101,3000||4935,4213|9169|8782,4288|
71:102,2799,5916|9024,6341,4810||||
72:112,195,5652,706|||12053,2431||
73:113||||12380,6007|
74:116||||2404|
75:117,196||11873,3978,2001,202|44,139,1195,255|626,957|
76:80,469,688,4219|||7686,7209||
77:120,128|6470|2718|10503||
78:121,2194,1051,6143,222|2578|||825|
79:130,959|1062,93,643,8809,84|8689|6689,10026,3085,12285||
80:131,152,2352|5077,2292,2248,1426|1886|||
81:134,5409,5517,419,958|||||
82:138|8057||3085,783||
83:140,2923,3851,4418,4636,4677,4789,4961,4773|10163,7574|5301,2823|1552,7893||
84:142,944,2721,3391,3525,4440,4750,1470,5303||4652||10009|
85:143,7860||1068|6092,7372,458|7615|
86:150,285,1815|1201,9310,2528,8661,997||||
