user_id:item_seq
1:4201,7643||7387|5633,10354||
2:5373,1668|10946,11373,13022,10528,13204,13206,7854|8578,1059,13277,3607|6355,11577,600,14796,13273,10927,10527,14798,8999,2653|1970,1660,5960,15154,4059,12220,6065,3230,4879,9285,10276|
3:|9106,1933,5091|14337,14373,14539||9682|
4:1005,6413,3028|10296,11535,13070|||4168|
5:3038,1658|7208||6156,8406,11689,6372,14187,421|9014,5364,15006,237,1513|
6:466,7634|4897,10128,13529|7454,6745|9787,10212|2123,4628,14735,7458|
7:5232,9455,2953|39,9151,1343|9261|3847||
8:3814,7176|2844|7148||15112,15247|
9:417,1094,1013,1959,895,10045,454,10100,10854,1885,3841|8282,334,2328,4035,13015,13228,6494|11520,13942,6087,1432|14012,14261,6498,2144,2943|6452,13675,18,4719,7008,11781,5291|
10:||||3697,12774,6334,4568|
11:9203,5515||1746,4568,2070,6381|9219||
12:||13229,13467|11049||
13:2899,2959,2292,6683,9077|||1224,11412||
14:9542,5609,2052|1885,1356,1835,10110|13909,13015,13942,14261,442,789|108,14090,11440,5013,9268,5811,2826,8943|349,3271,14694,8215,4090,10060,6314,14904,9368,7143,1013|
15:1048,33,2357,4368,3003,2635,1423,4866,2098,5467,90,6003,4560,6118,2913,1372,595,6495,6865,6871,6299,7025,5202,7197,6272,290,7326,8080,8284,488,6774,9573,8736,3524,2381,10686,669|8678,11322,5738,1416,11861,11445,630,12913|13549,8872,10823,6344,10512,6588,12981,9840||1852,4959,471,1386,9049,12627|
16:6091,6574,2816,7019|10380,9471|8229,13831|13642,13016|799,14527,7996,2375,1698,10816|
17:11196||127|4056||
18:6617,1343|3503,11969,7689,3229,932,7402,2459,9848,4448,5874,11841|119,7164,11947||10970|
19:6427,6098,8487|10038||1635,6527,10177,13105,7742|12227|
20:|7142,7490,2361||||
21:3217,5902,7038,2722,8324,6624|2583,4650,12196|13500,12536,8391,12565,13713,7031,2269|3437,6762,490,14308,483|15101,3009,6859|
22:1350,4546,9942,2139,8924|8284,8493|8226|1347,8968,3933,11523,14905|4454,9520,7850,4042,5062,676,5199|
23:966,7155,5729,7157,2000,7202,2812,7207,5734|5998,3722,5222,13283|9909,707,246,8608,14478,2952|13832,2821|4604,14824,2430,15033,14657,10566|
24:3811,4107,6461,5225,4597|836,5553|11953,3355,3484,5217,8754,6600|12799,6063,14290,14842,7764,3115,5030||
25:16||||12140,15029,6346|
26:585,2298,7138,8596,785|10464,6353,4454||||
27:3765,4113,4938,6437,1228,2940,8598,4526|5398,11127,9991|11906,1554,1144,13646,10237,10597,13980,14324,14110,3869|309,9354,82,3462,1833,10172|8764,5442,5330|
28:5098,6456||6068|8640||
29:4228,6914,3957,9292,7021,10118|11127,11906,7866,9763|6856,13980,1107,13646,2350,4526,13972,8509|1634,14759,10292,14806|3671,14423,13574,7922,10895,13418,14860,2309,3062,14026,10024|
30:377|||4674,6638|7423,76,670,13229,2316,13991,2344,7901,8295|
31:2199|||3631,10055||
32:3103,5390,3866,1286,5444,5476|||||
33:2603,1824||13822||15091|
34:2725,1961,1530,2651,7290,8597|2661,4059,7865,11428,4243,3607,1293|4053,2007|6759,9655,9464,5960|3777|
35:6465,863,4241,10010|9464,10479|12597,5122,2091,11808,4927,2239,3467|14485,14633|14891|
36:6970|12389|132,14139|9513||
37:2207,5448,2753,1228|6263|5622,6634|14573,8352,14575,6808,14801,3689,9393,5786,14882,12313,14324,14110|7426,9245,3218,14511,6422,5029,12998,9007,2003,14640,12281,8328,13646,3981,2868,10263,9818|
38:7814,7821,1177,3649,5286|333,10547,3209,5139,6725,4106,10759,13176,2359|13670,13692,2280,1670|13295,1006,10044,4127,12721,4202,129|3377,8402,13778,8913|
39:|3115,2859|12857|10918,1343,571,8468,6170|14871,10735,2538,3195,9151,15142,1715|
40:5333|7302|14193|||
41:1689,9974|1387,10255,87,11107|3411,7383|5239||
42:9338,1723,5951,864,5270,1805|10260||||
43:1681,5213,1544||11391|3852,4098|2130,3490,8937,14034|
44:3524,7526,3938|5025,265,12605|3911,7207|3789|3742|
45:||335,3305,4048,1118,14074,2827,707,246|||
46:2589,2455|7662||1299,7494,7151|12710,1305|
47:5495||6336,12882|7416||
48:4199,6862,1804,7823,1435,2713,533|212|||15255|
49:1237,3071,9199|9662,10863,4411,8968|9523,8472|14636|14578,15151|
50:401,455,5139,3573,1627,8913,7334,4662|2082,3538,5216,386||4100,3415|4266|
51:5140,3397||1296||579|
52:2825,4128,4930,1133||||2864|
53:2778,4825|4694|2757|||
54:|3662|14104|8075|517,12602|
